HOSTNAME,SOURCE_SITE,SOURCE_DEVICE_TYPE,SOURCE_REGION,SOURCE_INTERFACE_ID,SLOT,TYPE,SOURCE_BUNDLE_INTERFACE,SOURCE_IPV4_ADDRESS,SOURCE_IPV6_ADDRESS,SEGMENT,TARGET_SITE,TARGET_DEVICE_TYPE,TARGET_HOSTNAME,TARGET_REGION,TARGET_INTERFACE_ID,Unnamed: 16,TARGET_BUNDLE_INTERFACE,TARGET_IPV4_ADDRESS,TARGET_IPV6_ADDRESS,ISIS_AREA,CHANGE ISIS,IS_BACK_TO_BACK_LINK,VIA_LOT_1,IS_VIA_ACI,IS_IOSXRV,IS_INFRA,IS_INTERCONNECT,ER4L,REMARKS,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
CMLPXCMLCICN001,PLDT CAMILING,DN-1,NL,HundredGigE0/2/0/0,SLOT 2,PE-DN,Bundle-Ether100,10.205.226.161/30,,,PLDT TARLAC,PE-1,TRCN3821CIBE001,NL,HundredGigE0/0/0/4,SLOT 0,Bundle-Ether100,10.205.226.162/30,,,,,,,,YES,,,,,,,,,,,
CMLPXCMLCICN001,PLDT CAMILING,DN-1,NL,HundredGigE0/3/2/0,SLOT 3,PE-DN,Bundle-Ether101,10.205.226.165/30,,,PLDT TARLAC,PE-2,TRCN3821CIBE002,NL,HundredGigE0/0/0/4,SLOT 0,Bundle-Ether100,10.205.226.166/30,,,,,,,,YES,,,,,,,,,,,
CMLPXCMLCICN002,PLDT CAMILING,DN-2,NL,HundredGigE0/2/0/0,SLOT 2,PE-DN,Bundle-Ether100,10.205.226.169/30,,,PLDT TARLAC,PE-2,TRCN3821CIBE002,NL,HundredGigE0/7/0/2,SLOT 7,Bundle-Ether103,10.205.226.170/30,,,,,,,,YES,,,,,,,,,,,
CMLPXCMLCICN002,PLDT CAMILING,DN-2,NL,HundredGigE0/3/2/0,SLOT 3,PE-DN,Bundle-Ether101,10.205.226.173/30,,,PLDT TARLAC,PE-1,TRCN3821CIBE001,NL,HundredGigE0/7/0/2,SLOT 7,Bundle-Ether103,10.205.226.174/30,,,,,,,,YES,,,,,,,,,,,
CMLPXCMLCICN001,PLDT CAMILING,DN-1,NL,HundredGigE0/2/0/35,SLOT 2,B2B-DN,Bundle-Ether500,10.205.228.13/30,,,PLDT CAMILING,DN-2,CMLPXCMLCICN002,NL,HundredGigE0/2/0/35,SLOT 2,Bundle-Ether500,10.205.228.14/30,,,,,,,,YES,,,,,,,,,,,
TRCN3821CIBE001,PLDT TARLAC,PE-1,NL,HundredGigE0/2/0/0,SLOT 2,PE-DN,Bundle-Ether100,10.205.226.161/30,,,PLDT CAMILING,DN-1,CMLPXCMLCICN001,NL,HundredGigE0/0/0/4,SLOT 0,Bundle-Ether100,10.205.226.162/30,,,,,,,,YES,,,,,,,,,,,
TRCN3821CIBE002,PLDT TARLAC,PE-2,NL,HundredGigE0/3/2/0,SLOT 3,PE-DN,Bundle-Ether101,10.205.226.165/30,,,PLDT CAMILING,DN-1,CMLPXCMLCICN001,NL,HundredGigE0/0/0/4,SLOT 0,Bundle-Ether100,10.205.226.166/30,,,,,,,,YES,,,,,,,,,,,
TRCN3821CIBE002,PLDT TARLAC,PE-2,NL,HundredGigE0/2/0/0,SLOT 2,PE-DN,Bundle-Ether100,10.205.226.169/30,,,PLDT CAMILING,DN-2,CMLPXCMLCICN002,NL,HundredGigE0/7/0/2,SLOT 7,Bundle-Ether103,10.205.226.170/30,,,,,,,,YES,,,,,,,,,,,
TRCN3821CIBE001,PLDT TARLAC,PE-1,NL,HundredGigE0/3/2/0,SLOT 3,PE-DN,Bundle-Ether101,10.205.226.173/30,,,PLDT CAMILING,DN-2,CMLPXCMLCICN002,NL,HundredGigE0/7/0/2,SLOT 7,Bundle-Ether103,10.205.226.174/30,,,,,,,,YES,,,,,,,,,,,
CMLPXCMLCICN002,PLDT CAMILING,DN-2,NL,HundredGigE0/2/0/35,SLOT 2,B2B-DN,Bundle-Ether500,10.205.228.13/30,,,PLDT CAMILING,DN-1,CMLPXCMLCICN001,NL,HundredGigE0/2/0/35,SLOT 2,Bundle-Ether500,10.205.228.14/30,,,,,,,,YES,,,,,,,,,,,
