HOSTNAME,SOURCE_SITE,SOURCE_DEVICE_TYPE,SOURCE_REGION,SOURCE_INTERFACE_ID,SLOT,TYPE,SOURCE_BUNDLE_INTERFACE,SOURCE_IPV4_ADDRESS,SOURCE_IPV6_ADDRESS,SEGMENT,TARGET_SITE,TARGET_DEVICE_TYPE,TARGET_HOSTNAME,TARGET_REGION,TARGET_INTERFACE_ID,,TARGET_BUNDLE_INTERFACE,TARGET_IPV4_ADDRESS,TARGET_IPV6_ADDRESS,ISIS_AREA,CHANGE ISIS,IS_BACK_TO_BACK_LINK,VIA_LOT_1,IS_VIA_ACI,IS_IOSXRV,IS_INFRA,IS_INTERCONNECT,ER4L,REMARKS,,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/0/0/0,SLOT 0,,Bundle-Ether31,10.205.192.1/30,2405:B800:1::/127,PLDT Jupiter P1 PLDT Sampaloc P1,PLDT SAMPALOC,P-1,SPC00E67CIBP001,GMM,0/0/0/0,SLOT 0,Bundle-Ether31,10.205.192.2/30,2405:B800:1::1/127,1000,,,,,,YES,,YES,,PHASE 1,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/0/0/35,,,Bundle-Ether33,10.205.192.66/30,2405:B800:1::21/127,PLDT Jupiter P1 PLDT SFU P1,PLDT SFU,P-1,SFUN3814CIBP001,NL,0/0/0/0,,Bundle-Ether31,10.205.192.65/30,2405:B800:1::20/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/0/0/1,,,Bundle-Ether34,10.205.192.130/30,2405:B800:1::41/127,PLDT Jupiter P1 PLDT Lucena P1,PLDT Lucena,P-1,LCN04117CIBP001,SL,0/0/0/0,,Bundle-Ether31,10.205.192.129/30,2405:B800:1::40/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/0/0/34,,,Bundle-Ether35,10.205.192.194/30,2405:B800:1::81/127,,PLDT Jupiter,PE-1,MKTG3610CIBE001,GMM,0/0/0/0,,Bundle-Ether31,10.205.192.193/30,2405:B800:1::80/127,1000,,,,,,YES,,NO,,PHASE 1,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/0/0/2,,,Bundle-Ether37,10.205.192.242/30,2405:B800:1::99/127,,PLDT Sucat Vitro,PE-1,PRQG0099CIBE001,GMM,0/0/0/12,,Bundle-Ether31,10.205.192.241/30,2405:B800:1::98/127,1000,,,,,,YES,,YES,,PHASE 1,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/0/0/33,,,Bundle-Ether39,10.205.193.18/30,2405:B800:1::A9/127,,PLDT North Paranaque,PE-1,PRQG0049CIBE001,GMM,0/0/0/12,,Bundle-Ether31,10.205.193.17/30,2405:B800:1::A8/127,1000,,,,,,YES,,YES,,PHASE 1,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/0/0/3,,,Bundle-Ether41,10.205.193.50/30,2405:B800:1::B9/127,,PLDT Jupiter,ASBR-1,MKTG3610CIRO001,GMM,0/0/0/0,,Bundle-Ether35,10.205.193.49/30,2405:B800:1::B8/127,1000,,,,,,YES,,NO,,PHASE 1,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/0/0/32,,,Bundle-Ether43,10.205.193.66/30,2405:B800:1::C1/127,,PLDT Jupiter,ASBR-2,MKTG3610CIRO002,GMM,0/0/0/0,,Bundle-Ether35,10.205.193.65/30,2405:B800:1::C0/127,1000,,,,,,YES,,NO,,PHASE 1,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/0/0/4,,,Bundle-Ether45,10.205.194.2/30,2405:B800:1::121/127,,PLDT Clark,PE-1,CKLN8004CIBE001,NL,0/0/0/0,,Bundle-Ether31,10.205.194.1/30,2405:B800:1::120/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/0/0/31,,,Bundle-Ether47,10.205.194.34/30,2405:B800:1::131/127,,PLDT Malolos,PE-1,MLLN3874CIBE001,NL,0/0/0/0,,Bundle-Ether31,10.205.194.33/30,2405:B800:1::130/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
